icm4x6xx_accelerometer.x,icm4x6xx_accelerometer.y,icm4x6xx_accelerometer.z,ak0991x_magnetometer.x,ak0991x_magnetometer.y,ak0991x_magnetometer.z,icm4x6xx_gyroscope.x,icm4x6xx_gyroscope.y,icm4x6xx_gyroscope.z
-0.5626374,7.405266,9.500791,-7.0875,-8.6625,-9.918751,-0.6870753,-0.35379052,-0.18455163
0.3477578,4.2479124,10.526108,-6.6375003,-8.6625,-11.400001,-0.1448717,0.24806614,-0.29640108
-1.3718776,4.4783545,5.217564,-5.9812503,-8.85,-10.200001,0.9320789,0.53994,0.025299285
0.017357962,5.728726,3.5595794,-4.40625,-8.25,-9.0,-0.25885162,-1.0451268,-0.11211578
1.578976,4.626795,10.147225,-5.2312503,-7.89375,-10.5,-0.38241866,0.027562905,-0.2995968
-0.6823475,5.8771667,5.820903,-3.3937502,-6.8625,-10.181251,-0.17576344,0.016910573,-0.16218174
0.2184709,6.1022215,6.2045736,-3.6000001,-8.700001,-10.1625,0.1320889,-0.5071841,-0.36990216
0.108337626,6.571485,7.0952168,-5.2875004,-7.18125,-10.5,-0.030891757,-0.2728328,-0.45405558
0.39564183,6.993463,9.088389,-3.45,-8.137501,-9.13125,0.32276562,-0.4496615,-0.48814303
-0.46627077,7.386112,8.5473,-2.71875,-7.4437504,-10.6125,0.66683584,-0.33355108,-0.5541875
-0.13108255,6.9647326,8.858546,-1.9125,-7.0875,-8.83125,0.4292889,-0.3431382,-0.6170362
0.11312603,6.269816,9.299079,-1.8750001,-7.8,-8.8125,0.30572188,-0.057655737,-0.78534305
-0.6584055,5.1678843,7.9050555,0.69375,-7.9500003,-7.5937505,0.3579183,-0.30692026,-0.85245275
-0.207697,5.249287,7.9673047,2.60625,-8.0625,-7.2562504,0.690271,-1.0121045,-0.98134595
0.78410107,5.297171,9.160215,1.8937501,-9.168751,-6.5062504,-0.037283156,-1.6001132,-1.1208915
0.3669114,4.3676224,9.596559,1.66875,-8.56875,-8.15625,0.33767888,-0.86829805,-1.4180914
-1.5825673,4.9524064,5.820903,1.5562501,-7.1250005,-9.356251,0.49426812,-1.5276773,-1.0409989
0.23283611,5.7670336,6.477513,0.88125,-6.24375,-8.793751,0.12676273,-2.1913176,-1.1081086
0.54887074,5.8292828,7.3687544,-0.88125,-6.675,-11.925,-0.076696776,-1.7258106,-1.4180914
-0.3705027,5.2875943,8.024766,-0.93750006,-3.1125002,-12.13125,-0.34939644,-1.2326077,-1.6577688
-1.6065093,5.392939,8.355764,0.375,-1.5937501,-13.9125,0.003195699,-1.2741518,-1.4479179
-0.45669398,6.049549,8.51857,-0.91875005,-1.5,-15.712501,0.2609821,-1.6991798,-1.2433933
0.23283611,5.517438,8.110957,-2.1000001,-0.31875002,-15.000001,0.30146095,-1.0738881,-1.4468528
-1.7938557,6.379949,6.2524576,-0.54375005,0.31875002,-14.981251,-0.12782796,-1.1910636,-1.2902635
0.8463503,5.1726727,9.687539,-1.8000001,2.11875,-17.1,-0.37496203,-1.7993118,-1.22848
-0.45190558,5.7383027,6.870162,-4.0875,3.1125002,-18.487501,0.34087455,-0.5785547,-1.0058463
0.29508537,6.427833,7.162853,-4.875,2.4562502,-19.5375,0.19706811,-1.6991798,-1.1240871
1.8189948,5.6904187,9.26556,-6.15,2.6625001,-19.706251,0.034087457,-1.7332673,-1.2764155
1.0714053,5.5946507,8.403648,-7.74375,5.175,-21.09375,0.105458066,-1.4200888,-1.3957216
1.1288661,5.805341,7.028179,-9.825001,2.8500001,-20.212502,0.28015628,-1.6842666,-1.4713532
1.0426749,6.3129115,6.027403,-11.118751,3.61875,-19.5,-0.10119714,-1.8387253,-1.8058363
1.3204023,5.3498435,8.930372,-12.843751,5.2875004,-21.0375,-0.15126309,-2.1827955,-1.9198163
0.53450555,5.249287,8.010401,-14.55,4.8187504,-20.90625,0.12995844,-1.9878579,-1.8516413
-0.14065935,6.1261635,6.199785,-15.806251,4.4625,-21.225,-0.11504517,-1.7130278,-1.6322033
-0.6967127,7.204153,5.2462945,-19.462502,3.6937501,-23.925001,-0.54433405,-1.672549,-1.589594
-1.678934,4.64116,9.308656,-21.712502,5.30625,-20.4375,-0.88520867,-1.0057131,-1.8154234
-4.3281183,6.4565635,6.266823,-20.306252,7.8375,-22.66875,-0.566704,-0.12902635,-0.94406277
-1.9422961,7.117962,7.5124063,-21.16875,8.606251,-23.737501,-0.7115757,-0.6232945,-0.83966994
-2.1386206,5.858013,8.470686,-20.118752,9.543751,-24.0375,-0.5794868,0.2960016,-0.913171
-2.8048072,6.1836243,5.9837084,-17.081251,9.525001,-22.95,-0.23435126,-0.009720251,-0.37629357
-0.80684596,5.3833623,7.996035,-21.581251,10.05,-24.50625,0.23009034,-0.47948802,-0.29107493
-2.119467,6.43741,6.894104,-19.743752,9.075001,-22.5375,0.2066552,0.06804176,-0.16537742
-1.3718776,6.4948707,8.087015,-20.550001,9.13125,-22.85625,-0.027696058,-0.48800987,-0.101463445
